"participant","block","correct","latency"
"148","sekcija3","1","410"
"148","sekcija3","0","219"
"148","sekcija3","0","190"
"148","sekcija3","1","79"
"148","sekcija3","0","175"
"148","sekcija3","1","125"
"148","sekcija3","0","206"
"148","sekcija3","1","77"
"148","sekcija3","1","127"
"148","sekcija3","0","208"
"148","sekcija3","1","151"
"148","sekcija3","0","318"
"148","sekcija3","0","270"
"148","sekcija3","1","143"
"148","sekcija3","1","111"
"148","sekcija3","0","271"
"148","sekcija3","0","333"
"148","sekcija3","1","173"
"148","sekcija3","1","127"
"148","sekcija3","1","160"
"148","sekcija4","0","626"
"148","sekcija4","0","222"
"148","sekcija4","0","159"
"148","sekcija4","1","141"
"148","sekcija4","0","176"
"148","sekcija4","1","46"
"148","sekcija4","1","158"
"148","sekcija4","1","47"
"148","sekcija4","0","192"
"148","sekcija4","1","141"
"148","sekcija4","0","207"
"148","sekcija4","1","46"
"148","sekcija4","1","128"
"148","sekcija4","1","65"
"148","sekcija4","1","140"
"148","sekcija4","0","192"
"148","sekcija4","1","45"
"148","sekcija4","0","190"
"148","sekcija4","0","191"
"148","sekcija4","1","161"
"148","sekcija4","0","203"
"148","sekcija4","1","77"
"148","sekcija4","1","128"
"148","sekcija4","1","63"
"148","sekcija4","0","205"
"148","sekcija4","1","143"
"148","sekcija4","1","79"
"148","sekcija4","0","238"
"148","sekcija4","1","111"
"148","sekcija4","0","222"
"148","sekcija4","0","207"
"148","sekcija4","1","109"
"148","sekcija4","1","111"
"148","sekcija4","1","94"
"148","sekcija4","0","207"
"148","sekcija4","1","109"
"148","sekcija4","0","208"
"148","sekcija4","1","78"
"148","sekcija4","1","125"
"148","sekcija4","0","223"
"148","sekcija6","1","433"
"148","sekcija6","1","95"
"148","sekcija6","1","127"
"148","sekcija6","0","191"
"148","sekcija6","1","62"
"148","sekcija6","0","222"
"148","sekcija6","0","214"
"148","sekcija6","1","94"
"148","sekcija6","0","222"
"148","sekcija6","1","79"
"148","sekcija6","1","126"
"148","sekcija6","0","191"
"148","sekcija6","1","63"
"148","sekcija6","1","142"
"148","sekcija6","1","77"
"148","sekcija6","0","208"
"148","sekcija6","1","126"
"148","sekcija6","1","64"
"148","sekcija6","1","141"
"148","sekcija6","1","96"
"148","sekcija7","0","689"
"148","sekcija7","1","126"
"148","sekcija7","1","110"
"148","sekcija7","0","206"
"148","sekcija7","1","126"
"148","sekcija7","0","175"
"148","sekcija7","0","174"
"148","sekcija7","1","95"
"148","sekcija7","1","84"
"148","sekcija7","0","183"
"148","sekcija7","1","112"
"148","sekcija7","1","62"
"148","sekcija7","0","193"
"148","sekcija7","1","157"
"148","sekcija7","0","222"
"148","sekcija7","1","48"
"148","sekcija7","1","125"
"148","sekcija7","0","221"
"148","sekcija7","0","209"
"148","sekcija7","1","93"
"148","sekcija7","0","206"
"148","sekcija7","1","96"
"148","sekcija7","0","214"
"148","sekcija7","1","111"
"148","sekcija7","0","222"
"148","sekcija7","1","110"
"148","sekcija7","1","109"
"148","sekcija7","0","224"
"148","sekcija7","1","93"
"148","sekcija7","0","210"
"148","sekcija7","1","109"
"148","sekcija7","0","206"
"148","sekcija7","1","86"
"148","sekcija7","1","109"
"148","sekcija7","1","97"
"148","sekcija7","0","204"
"148","sekcija7","1","95"
"148","sekcija7","1","111"
"148","sekcija7","1","111"
"148","sekcija7","1","93"
"4","sekcija3","1","1075"
"4","sekcija3","1","771"
"4","sekcija3","1","647"
"4","sekcija3","1","727"
"4","sekcija3","1","482"
"4","sekcija3","1","1104"
"4","sekcija3","1","947"
"4","sekcija3","1","768"
"4","sekcija3","1","1143"
"4","sekcija3","1","618"
"4","sekcija3","1","705"
"4","sekcija3","1","970"
"4","sekcija3","1","609"
"4","sekcija3","1","957"
"4","sekcija3","1","633"
"4","sekcija3","1","608"
"4","sekcija3","1","609"
"4","sekcija3","1","697"
"4","sekcija3","1","802"
"4","sekcija3","1","815"
"4","sekcija4","1","1262"
"4","sekcija4","0","1694"
"4","sekcija4","1","869"
"4","sekcija4","1","618"
"4","sekcija4","1","696"
"4","sekcija4","1","569"
"4","sekcija4","1","672"
"4","sekcija4","0","655"
"4","sekcija4","0","1577"
"4","sekcija4","1","1460"
"4","sekcija4","1","613"
"4","sekcija4","1","742"
"4","sekcija4","1","796"
"4","sekcija4","1","697"
"4","sekcija4","1","746"
"4","sekcija4","1","801"
"4","sekcija4","1","655"
"4","sekcija4","1","544"
"4","sekcija4","1","782"
"4","sekcija4","1","551"
"4","sekcija4","1","756"
"4","sekcija4","1","640"
